city,date,fare,ride_id,driver_count,type
Joneschester,1/30/2019 17:41,36.78,1660000000000.0,39,Urban
North Markport,4/26/2019 4:45,44.37,1630000000000.0,22,Urban
Hurleymouth,3/22/2019 11:19,32.85,8450000000000.0,36,Urban
Barajasview,1/15/2019 2:59,19.52,8270000000000.0,26,Urban
Grahamburgh,4/6/2019 13:48,23.87,1470000000000.0,61,Urban
South Michelleport,3/2/2019 9:54,33.12,814000000000.0,72,Urban
Loganberg,1/7/2019 19:02,16.26,9050000000000.0,23,Urban
West Christopherberg,3/18/2019 17:14,12.64,1060000000000.0,32,Urban
Rogerston,2/23/2019 19:13,14.04,7650000000000.0,25,Urban
Huntermouth,2/24/2019 7:57,39.12,928000000000.0,37,Urban
New Jacobville,2/9/2019 2:17,7.11,3860000000000.0,50,Urban
Lake Jonathanshire,4/7/2019 20:51,31.25,4440000000000.0,5,Urban
Port David,3/17/2019 14:42,33.11,1030000000000.0,7,Urban
Martinezhaven,2/20/2019 19:32,13.34,2760000000000.0,25,Urban
Port Frank,4/19/2019 19:35,26.47,6720000000000.0,23,Urban
Valentineton,3/2/2019 14:44,39.77,6770000000000.0,45,Urban
Hurleymouth,3/3/2019 11:28,36.31,167000000000.0,36,Urban
Carriemouth,2/25/2019 8:26,32.37,6920000000000.0,52,Urban
Port Samanthamouth,4/16/2019 18:34,9.2,8710000000000.0,57,Urban
Williamsstad,1/23/2019 17:51,19.62,126000000000.0,59,Urban
Royland,1/7/2019 2:23,24.5,3620000000000.0,64,Urban
New Jacobville,1/5/2019 5:02,34.11,2830000000000.0,50,Urban
Roberthaven,3/6/2019 22:56,12.38,3370000000000.0,47,Urban
South Evanton,1/7/2019 18:47,43.61,9120000000000.0,11,Urban
New Paulton,5/3/2019 12:09,21.67,9090000000000.0,44,Urban
Karenberg,3/11/2019 17:26,36.15,7800000000000.0,22,Urban
Rodneyfort,1/30/2019 12:34,16.99,5780000000000.0,34,Urban
East Kaylahaven,4/4/2019 2:35,23.18,57422927996.0,65,Urban
Huntermouth,2/19/2019 3:19,7.05,1620000000000.0,37,Urban
Barajasview,1/23/2019 13:23,37.68,4110000000000.0,26,Urban
Williamsstad,3/29/2019 21:43,35.58,4750000000000.0,59,Urban
North Jason,3/8/2019 20:06,25.21,3180000000000.0,6,Urban
Christopherfurt,4/17/2019 2:25,23.3,7820000000000.0,41,Urban
Liumouth,1/11/2019 17:15,36.78,1460000000000.0,69,Urban
Johnton,1/17/2019 2:12,32.19,8530000000000.0,27,Urban
West Angela,3/8/2019 1:08,41.06,6200000000000.0,48,Urban
Jerryton,1/4/2019 16:38,37.2,5640000000000.0,64,Urban
Erikaland,2/18/2019 7:47,20.62,3290000000000.0,37,Urban
North Jason,2/7/2019 7:27,20.0,474000000000.0,6,Urban
Lake Scottton,5/5/2019 11:21,18.77,405000000000.0,58,Urban
Simpsonburgh,3/22/2019 8:56,22.05,3500000000000.0,21,Urban
Raymondhaven,3/12/2019 6:59,16.98,6450000000000.0,11,Urban
West Robert,4/5/2019 3:18,44.58,4250000000000.0,39,Urban
North Jason,3/18/2019 10:10,6.41,2870000000000.0,6,Urban
Port Samanthamouth,1/23/2019 9:08,35.51,3120000000000.0,57,Urban
West Robert,1/21/2019 17:21,27.11,1370000000000.0,39,Urban
Jerryton,1/5/2019 15:36,37.91,1590000000000.0,64,Urban
Port Samanthamouth,2/3/2019 7:07,18.03,9290000000000.0,57,Urban
Liumouth,1/15/2019 7:55,14.55,4380000000000.0,69,Urban
West Heidi,4/3/2019 3:16,24.76,1820000000000.0,28,Urban
Loganberg,1/21/2019 16:26,22.86,1950000000000.0,23,Urban
Grahamburgh,2/17/2019 9:54,30.25,4050000000000.0,61,Urban
Raymondhaven,5/6/2019 23:22,25.76,8720000000000.0,11,Urban
Karenside,1/25/2019 15:35,14.52,2650000000000.0,5,Urban
Port Frank,4/6/2019 21:38,18.08,5470000000000.0,23,Urban
Leahton,4/2/2019 17:39,22.76,5810000000000.0,17,Urban
Port Samanthamouth,4/22/2019 3:32,29.67,3150000000000.0,57,Urban
Jerryton,4/13/2019 21:47,32.08,8500000000000.0,64,Urban
West Patrickchester,3/7/2019 15:47,23.66,3070000000000.0,25,Urban
West Samuelburgh,3/3/2019 16:07,27.48,101000000000.0,73,Urban
North Markport,3/31/2019 13:58,29.41,3090000000000.0,22,Urban
West Angela,3/10/2019 11:23,27.1,1370000000000.0,48,Urban
Grahamburgh,3/12/2019 2:44,22.97,4900000000000.0,61,Urban
South Michelleport,1/8/2019 9:38,23.77,4920000000000.0,72,Urban
East Kaylahaven,4/2/2019 7:05,9.67,2090000000000.0,65,Urban
South Karenland,4/22/2019 21:37,22.86,6730000000000.0,4,Urban
Lake Danielberg,2/24/2019 12:05,9.63,9150000000000.0,19,Urban
Justinberg,4/26/2019 8:41,8.83,1820000000000.0,39,Urban
Karenberg,4/29/2019 20:54,28.41,9050000000000.0,22,Urban
South Phillip,2/9/2019 16:46,7.89,3200000000000.0,38,Urban
North Madeline,4/5/2019 18:23,29.69,241000000000.0,19,Urban
New Kimberlyborough,5/1/2019 13:56,22.59,9250000000000.0,33,Urban
South Jack,4/24/2019 19:33,38.04,2200000000000.0,46,Urban
Erikaland,3/11/2019 2:19,27.39,132000000000.0,37,Urban
New Paulville,3/27/2019 2:18,7.29,7050000000000.0,44,Urban
Hurleymouth,3/26/2019 20:22,41.15,4710000000000.0,36,Urban
Liumouth,4/12/2019 3:38,43.34,7860000000000.0,69,Urban
Deanville,5/1/2019 21:53,8.28,593000000000.0,49,Urban
Karenside,4/2/2019 19:22,41.93,4090000000000.0,5,Urban
West Angela,1/30/2019 18:08,19.13,2080000000000.0,48,Urban
Liumouth,2/1/2019 20:17,24.81,5470000000000.0,69,Urban
Jerryton,3/27/2019 12:48,13.29,8960000000000.0,64,Urban
South Phillip,5/4/2019 9:10,28.3,8700000000000.0,38,Urban
Port Johnbury,4/27/2019 16:22,25.67,2750000000000.0,3,Urban
Raymondhaven,2/8/2019 23:57,5.7,3930000000000.0,11,Urban
Port David,3/7/2019 18:37,42.04,9910000000000.0,7,Urban
Robertport,3/6/2019 9:51,6.73,9680000000000.0,12,Urban
Loganberg,3/16/2019 11:46,23.99,9490000000000.0,23,Urban
Karenside,4/19/2019 10:17,36.01,1320000000000.0,5,Urban
Lake Jonathanshire,3/9/2019 23:45,19.89,2390000000000.0,5,Urban
Pattyland,1/30/2019 12:35,8.57,4690000000000.0,59,Urban
West Robert,4/13/2019 6:56,32.94,9600000000000.0,39,Urban
Justinberg,4/12/2019 5:27,17.03,8370000000000.0,39,Urban
West Josephberg,2/9/2019 14:07,4.42,8300000000000.0,45,Urban
North Markport,1/21/2019 11:49,27.68,4560000000000.0,22,Urban
Williamsview,1/9/2019 15:24,44.46,2200000000000.0,46,Urban
Raymondhaven,2/1/2019 5:51,13.86,8720000000000.0,11,Urban
South Latoya,2/12/2019 16:32,30.22,7390000000000.0,10,Urban
Deanville,3/29/2019 4:07,5.32,2610000000000.0,49,Urban
Amandaburgh,3/5/2019 2:15,26.28,907000000000.0,12,Urban
Jerryton,1/27/2019 14:46,29.08,6160000000000.0,64,Urban
Deanville,3/24/2019 0:26,30.55,5280000000000.0,49,Urban
West Anthony,1/23/2019 12:32,23.24,597000000000.0,70,Urban
West Anthony,2/24/2019 6:14,39.2,8490000000000.0,70,Urban
West Heidi,3/30/2019 10:46,22.41,1710000000000.0,28,Urban
Royland,1/1/2019 3:46,7.57,5820000000000.0,64,Urban
South Latoya,3/2/2019 6:06,10.35,338000000000.0,10,Urban
Johnton,1/8/2019 17:33,43.75,195000000000.0,27,Urban
West Angela,1/30/2019 18:46,32.31,7290000000000.0,48,Urban
Rodneyfort,1/8/2019 0:29,29.4,1180000000000.0,34,Urban
Royland,1/2/2019 20:08,10.19,668000000000.0,64,Urban
New Paulville,1/31/2019 5:32,20.8,1090000000000.0,44,Urban
Huntermouth,4/9/2019 20:23,35.11,3010000000000.0,37,Urban
New Paulville,1/30/2019 15:21,7.02,8500000000000.0,44,Urban
Justinberg,5/3/2019 2:49,36.06,930000000000.0,39,Urban
Port Angela,3/31/2019 15:22,30.77,662000000000.0,67,Urban
Port Angela,4/9/2019 14:34,11.9,7010000000000.0,67,Urban
Christopherfurt,1/5/2019 22:21,33.51,1900000000000.0,41,Urban
South Michelleport,4/22/2019 3:15,43.62,4660000000000.0,72,Urban
Williamsstad,2/13/2019 20:07,33.72,3800000000000.0,59,Urban
Lake Jonathanshire,4/7/2019 18:09,24.28,7800000000000.0,5,Urban
Robertport,3/20/2019 19:11,20.21,9630000000000.0,12,Urban
Port Angela,2/8/2019 16:30,30.38,5170000000000.0,67,Urban
Barajasview,2/8/2019 18:07,24.49,2610000000000.0,26,Urban
South Evanton,1/24/2019 7:08,17.83,3000000000000.0,11,Urban
Lake Danielberg,2/13/2019 11:01,43.96,100000000000.0,19,Urban
Royland,4/19/2019 0:05,25.4,9850000000000.0,64,Urban
Rodneyfort,2/8/2019 7:35,30.02,2500000000000.0,34,Urban
East Kaylahaven,1/17/2019 10:15,40.82,6340000000000.0,65,Urban
West Christopherberg,1/17/2019 14:30,9.04,5150000000000.0,32,Urban
New Jacobville,1/15/2019 15:27,27.24,3810000000000.0,50,Urban
Lake Jonathanshire,1/2/2019 14:14,13.89,424000000000.0,5,Urban
Port Samanthamouth,4/25/2019 9:50,25.5,1170000000000.0,57,Urban
West Heidi,3/26/2019 9:45,22.33,826000000000.0,28,Urban
Karenside,4/14/2019 5:11,13.13,3660000000000.0,5,Urban
Valentineton,2/1/2019 14:11,9.68,2130000000000.0,45,Urban
Raymondhaven,2/23/2019 11:13,4.24,294000000000.0,11,Urban
Carriemouth,3/11/2019 21:35,16.78,1520000000000.0,52,Urban
West Josephberg,1/16/2019 16:17,7.04,2510000000000.0,45,Urban
Port Samanthamouth,3/1/2019 8:58,43.25,1390000000000.0,57,Urban
Karenberg,3/30/2019 11:38,24.64,4540000000000.0,22,Urban
New Paulton,3/10/2019 1:07,28.0,1070000000000.0,44,Urban
Joneschester,2/7/2019 18:36,6.34,2610000000000.0,39,Urban
North Jasmine,2/8/2019 19:03,4.86,1280000000000.0,33,Urban
Valentineton,2/27/2019 0:40,25.4,6150000000000.0,45,Urban
New Paulton,2/20/2019 16:59,24.29,7740000000000.0,44,Urban
South Evanton,4/28/2019 8:15,22.86,7590000000000.0,11,Urban
North Jasmine,1/22/2019 17:25,31.68,712000000000.0,33,Urban
West Anthony,3/17/2019 0:30,35.42,4560000000000.0,70,Urban
Jerryton,4/29/2019 2:49,41.27,903000000000.0,64,Urban
Grahamburgh,1/9/2019 7:00,13.55,5460000000000.0,61,Urban
South Jack,3/30/2019 20:21,4.2,4820000000000.0,46,Urban
West Christopherberg,1/23/2019 21:23,30.93,5340000000000.0,32,Urban
Lake Scottton,3/26/2019 0:49,9.79,1830000000000.0,58,Urban
West Patrickchester,1/14/2019 1:15,24.82,5930000000000.0,25,Urban
Royland,1/17/2019 14:08,27.92,3150000000000.0,64,Urban
South Karenland,2/14/2019 14:00,39.53,2860000000000.0,4,Urban
Erikaland,3/27/2019 13:11,36.52,2200000000000.0,37,Urban
Rodneyfort,3/20/2019 10:40,42.57,6350000000000.0,34,Urban
Williamsstad,5/1/2019 1:26,26.81,4540000000000.0,59,Urban
Richardfort,2/13/2019 12:46,14.0,910000000000.0,38,Urban
West Ericstad,1/25/2019 12:29,20.03,3280000000000.0,25,Urban
Grahamburgh,3/5/2019 5:39,4.33,804000000000.0,61,Urban
North Barbara,5/4/2019 2:33,24.09,9280000000000.0,18,Urban
West Robert,1/4/2019 6:10,35.35,9550000000000.0,39,Urban
Justinberg,3/14/2019 10:46,36.32,6770000000000.0,39,Urban
South Michelleport,3/3/2019 16:13,41.62,2340000000000.0,72,Urban
North Jasmine,2/22/2019 1:56,25.33,1320000000000.0,33,Urban
Barajasview,3/1/2019 11:06,28.25,7230000000000.0,26,Urban
Carriemouth,4/4/2019 13:22,12.91,4280000000000.0,52,Urban
Amandaburgh,2/24/2019 23:10,43.66,6570000000000.0,12,Urban
Johnton,3/27/2019 0:10,18.89,3630000000000.0,27,Urban
Port Angela,3/4/2019 3:26,40.35,4930000000000.0,67,Urban
Rodneyfort,5/6/2019 22:21,27.16,3770000000000.0,34,Urban
Amandaburgh,2/10/2019 20:42,36.17,6460000000000.0,12,Urban
North Madeline,2/25/2019 4:32,13.58,4930000000000.0,19,Urban
West Angela,3/1/2019 11:13,30.3,9670000000000.0,48,Urban
Joneschester,1/3/2019 5:45,25.47,5540000000000.0,39,Urban
Joneschester,1/3/2019 1:03,17.97,5440000000000.0,39,Urban
South Phillip,1/29/2019 11:26,35.23,7420000000000.0,38,Urban
Liumouth,3/30/2019 3:13,4.66,3160000000000.0,69,Urban
West Anthony,1/10/2019 2:31,32.34,1480000000000.0,70,Urban
North Jason,2/26/2019 11:57,13.88,2490000000000.0,6,Urban
North Jason,3/21/2019 9:45,10.42,6600000000000.0,6,Urban
Carriemouth,4/28/2019 14:28,11.46,6990000000000.0,52,Urban
Huntermouth,5/4/2019 15:20,36.77,7190000000000.0,37,Urban
South Phillip,4/18/2019 6:03,39.95,9720000000000.0,38,Urban
South Jack,2/1/2019 22:32,28.37,3370000000000.0,46,Urban
Port Johnbury,5/5/2019 6:26,25.3,2540000000000.0,3,Urban
South Phillip,5/6/2019 5:05,43.43,2440000000000.0,38,Urban
North Jasmine,4/10/2019 11:45,38.24,2960000000000.0,33,Urban
South Michelleport,1/27/2019 19:38,15.45,7470000000000.0,72,Urban
North Madeline,4/7/2019 8:54,32.99,1820000000000.0,19,Urban
Christopherfurt,2/24/2019 2:56,40.33,9580000000000.0,41,Urban
Williamsstad,2/23/2019 17:42,4.68,9110000000000.0,59,Urban
Martinezhaven,4/18/2019 1:40,34.7,2020000000000.0,25,Urban
Simpsonburgh,4/3/2019 8:47,4.74,8560000000000.0,21,Urban
New Jacobville,2/4/2019 4:57,27.63,4330000000000.0,50,Urban
South Karenland,2/12/2019 3:42,5.78,8890000000000.0,4,Urban
Royland,1/27/2019 1:01,24.56,9660000000000.0,64,Urban
Karenside,1/22/2019 13:11,24.72,5330000000000.0,5,Urban
West Robert,5/5/2019 5:18,10.15,9390000000000.0,39,Urban
Port Samanthamouth,4/27/2019 8:48,12.84,5660000000000.0,57,Urban
West Samuelburgh,3/7/2019 1:51,14.55,7160000000000.0,73,Urban
New Kimberlyborough,3/29/2019 20:35,42.51,8300000000000.0,33,Urban
Port David,3/27/2019 11:56,15.64,5340000000000.0,7,Urban
Karenside,3/18/2019 12:48,36.96,7610000000000.0,5,Urban
New Paulton,2/8/2019 17:11,39.65,8510000000000.0,44,Urban
West Ericstad,1/8/2019 9:03,32.99,6690000000000.0,25,Urban
Port Johnbury,3/21/2019 2:20,32.8,5450000000000.0,3,Urban
Port Samanthamouth,3/27/2019 0:31,16.05,1410000000000.0,57,Urban
Port Frank,1/8/2019 23:51,42.13,2100000000000.0,23,Urban
Lake Jonathanshire,4/6/2019 11:30,16.84,6160000000000.0,5,Urban
West Angela,2/5/2019 18:53,36.37,7830000000000.0,48,Urban
Port Samanthamouth,3/27/2019 1:08,21.46,9990000000000.0,57,Urban
North Madeline,3/4/2019 17:20,21.38,9540000000000.0,19,Urban
Williamsview,1/15/2019 0:10,44.33,4630000000000.0,46,Urban
Grahamburgh,2/21/2019 6:55,22.65,816000000000.0,61,Urban
South Evanton,3/6/2019 3:56,30.87,5810000000000.0,11,Urban
Loganberg,3/27/2019 13:32,4.72,6120000000000.0,23,Urban
Carriemouth,2/21/2019 16:38,44.18,4530000000000.0,52,Urban
Port David,1/2/2019 11:51,7.45,6150000000000.0,7,Urban
West Heidi,1/30/2019 12:59,30.84,8940000000000.0,28,Urban
Williamsstad,3/5/2019 2:33,25.02,1310000000000.0,59,Urban
North Barbara,2/4/2019 8:12,42.59,4970000000000.0,18,Urban
Lake Danielberg,3/17/2019 19:23,10.18,4710000000000.0,19,Urban
North Markport,4/13/2019 7:37,20.09,4310000000000.0,22,Urban
Port Angela,5/2/2019 4:14,35.76,7950000000000.0,67,Urban
Port Samanthamouth,3/15/2019 15:08,25.97,7730000000000.0,57,Urban
West Angela,5/3/2019 9:04,24.07,7810000000000.0,48,Urban
Leahton,2/21/2019 20:37,24.13,6760000000000.0,17,Urban
North Markport,4/28/2019 4:34,40.46,2570000000000.0,22,Urban
Karenside,3/9/2019 3:50,40.86,1760000000000.0,5,Urban
Jerryton,1/7/2019 12:05,7.86,707000000000.0,64,Urban
South Michelleport,4/14/2019 1:20,37.93,1530000000000.0,72,Urban
Valentineton,3/25/2019 20:45,22.53,2340000000000.0,45,Urban
East Kaylahaven,4/9/2019 16:57,10.03,8040000000000.0,65,Urban
Erikaland,4/13/2019 12:26,25.22,4850000000000.0,37,Urban
West Christopherberg,1/8/2019 8:25,37.78,8770000000000.0,32,Urban
Pattyland,2/1/2019 22:43,32.03,2850000000000.0,59,Urban
Deanville,2/8/2019 23:33,21.22,4790000000000.0,49,Urban
West Christopherberg,3/21/2019 0:14,43.87,5090000000000.0,32,Urban
Justinberg,3/23/2019 6:28,30.58,3500000000000.0,39,Urban
Lake Danielberg,2/24/2019 19:34,34.82,2440000000000.0,19,Urban
Port Samanthamouth,1/30/2019 1:19,38.78,6120000000000.0,57,Urban
Lake Danielberg,2/28/2019 15:08,44.96,6320000000000.0,19,Urban
Deanville,4/15/2019 1:36,24.3,1070000000000.0,49,Urban
Pattyland,2/15/2019 15:13,44.03,1560000000000.0,59,Urban
Karenside,1/27/2019 8:52,7.65,473000000000.0,5,Urban
Port Angela,4/22/2019 16:43,7.91,6770000000000.0,67,Urban
West Angela,4/14/2019 18:40,32.77,5000000000000.0,48,Urban
South Karenland,3/26/2019 6:12,35.5,1480000000000.0,4,Urban
New Jacobville,2/18/2019 21:09,39.97,8030000000000.0,50,Urban
Roberthaven,3/14/2019 16:12,36.84,4120000000000.0,47,Urban
Lake Scottton,4/24/2019 11:54,5.31,9670000000000.0,58,Urban
Amandaburgh,1/11/2019 2:22,29.24,7280000000000.0,12,Urban
Reynoldsfurt,5/5/2019 17:38,14.95,1400000000000.0,67,Urban
West Patrickchester,2/9/2019 5:54,16.1,9110000000000.0,25,Urban
Christopherfurt,4/13/2019 8:29,37.22,3290000000000.0,41,Urban
South Evanton,4/27/2019 0:58,27.78,9380000000000.0,11,Urban
Lake Scottton,2/7/2019 5:08,10.76,4200000000000.0,58,Urban
Roberthaven,3/14/2019 15:24,35.27,4030000000000.0,47,Urban
Rodneyfort,3/4/2019 15:13,28.69,276000000000.0,34,Urban
West Josephberg,2/17/2019 6:28,41.49,2820000000000.0,45,Urban
Lake Jonathanshire,3/21/2019 0:18,37.95,8350000000000.0,5,Urban
Simpsonburgh,2/5/2019 16:02,25.58,2040000000000.0,21,Urban
West Heidi,3/19/2019 3:15,5.65,2470000000000.0,28,Urban
North Barbara,3/23/2019 20:59,23.76,5550000000000.0,18,Urban
North Jasmine,3/11/2019 21:03,37.93,4220000000000.0,33,Urban
West Gabriel,4/29/2019 1:22,36.7,4100000000000.0,57,Urban
Liumouth,4/14/2019 6:43,31.63,6170000000000.0,69,Urban
Carriemouth,3/2/2019 15:40,28.04,5140000000000.0,52,Urban
West Robert,3/24/2019 15:21,34.9,9470000000000.0,39,Urban
North Jasmine,5/2/2019 10:24,29.86,3200000000000.0,33,Urban
Carriemouth,3/21/2019 15:40,44.64,9560000000000.0,52,Urban
Lake Scottton,2/15/2019 6:49,22.75,8380000000000.0,58,Urban
North Madeline,4/12/2019 13:57,7.77,9270000000000.0,19,Urban
Lake Danielberg,1/7/2019 9:41,17.39,4360000000000.0,19,Urban
North Madeline,4/30/2019 16:02,37.48,2510000000000.0,19,Urban
Port David,1/7/2019 20:03,20.49,5850000000000.0,7,Urban
Royland,2/11/2019 3:46,30.41,7200000000000.0,64,Urban
West Samuelburgh,2/20/2019 1:05,19.65,6620000000000.0,73,Urban
West Angela,3/18/2019 12:08,34.05,5330000000000.0,48,Urban
West Patrickchester,3/6/2019 4:19,32.37,3680000000000.0,25,Urban
Port Frank,2/5/2019 10:34,20.1,4440000000000.0,23,Urban
New Kimberlyborough,2/9/2019 5:48,39.55,6010000000000.0,33,Urban
Justinberg,4/20/2019 7:37,29.07,210000000000.0,39,Urban
West Angela,4/18/2019 12:07,16.18,5770000000000.0,48,Urban
Justinberg,3/10/2019 9:19,37.89,5560000000000.0,39,Urban
Valentineton,1/10/2019 17:29,19.91,775000000000.0,45,Urban
Williamsview,4/7/2019 0:32,18.92,23948941587.0,46,Urban
South Jack,1/31/2019 2:51,21.75,6970000000000.0,46,Urban
Port Frank,2/18/2019 18:49,39.06,7300000000000.0,23,Urban
Leahton,2/13/2019 11:40,16.79,4740000000000.0,17,Urban
South Michelleport,2/22/2019 7:44,22.52,8520000000000.0,72,Urban
South Karenland,4/25/2019 14:44,24.86,1310000000000.0,4,Urban
Richardfort,2/16/2019 13:52,17.92,821000000000.0,38,Urban
Williamsstad,4/16/2019 23:07,23.12,969000000000.0,59,Urban
South Michelleport,2/12/2019 7:41,27.7,5580000000000.0,72,Urban
West Patrickchester,4/13/2019 19:49,33.33,1830000000000.0,25,Urban
Martinezhaven,4/18/2019 18:37,5.81,2120000000000.0,25,Urban
North Jason,1/23/2019 22:51,21.95,6700000000000.0,6,Urban
North Jason,4/18/2019 12:19,22.42,4930000000000.0,6,Urban
Lake Scottton,5/3/2019 22:33,9.01,1290000000000.0,58,Urban
West Christopherberg,3/1/2019 21:33,11.97,6420000000000.0,32,Urban
North Markport,4/10/2019 22:15,38.02,8830000000000.0,22,Urban
Christopherfurt,4/9/2019 0:32,29.96,9830000000000.0,41,Urban
North Madeline,1/29/2019 16:12,17.57,2600000000000.0,19,Urban
Richardfort,2/1/2019 20:18,10.26,9550000000000.0,38,Urban
South Phillip,1/25/2019 5:04,38.15,3600000000000.0,38,Urban
East Kaylahaven,2/11/2019 0:24,43.19,8670000000000.0,65,Urban
Rodneyfort,4/11/2019 2:57,36.3,9050000000000.0,34,Urban
Pattyland,4/26/2019 8:31,19.99,8830000000000.0,59,Urban
South Karenland,3/24/2019 23:37,41.44,605000000000.0,4,Urban
Port David,3/24/2019 21:58,28.84,5270000000000.0,7,Urban
Rodneyfort,3/10/2019 5:23,29.13,4630000000000.0,34,Urban
New Paulton,2/2/2019 16:37,17.19,8500000000000.0,44,Urban
Williamsstad,3/12/2019 1:39,18.67,2160000000000.0,59,Urban
South Michelleport,1/29/2019 20:40,9.79,5530000000000.0,72,Urban
West Christopherberg,3/21/2019 2:57,21.41,7700000000000.0,32,Urban
Lake Scottton,3/25/2019 21:46,36.92,7040000000000.0,58,Urban
Port Angela,3/19/2019 12:32,17.21,1690000000000.0,67,Urban
Christopherfurt,4/17/2019 22:12,32.39,654000000000.0,41,Urban
Joneschester,2/27/2019 8:19,33.34,2390000000000.0,39,Urban
Loganberg,1/25/2019 1:59,26.03,9120000000000.0,23,Urban
South Phillip,2/19/2019 13:19,33.07,8520000000000.0,38,Urban
Deanville,1/23/2019 13:00,42.45,7290000000000.0,49,Urban
